#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0.782,-103936,0.0000000000000154828,-13332.9,-3.11591E-035,-2.52839E-018,8.4662E-036,-52.341,9.87841E-016,-19.8401,
0.783,-104134,0.0000000000000153932,-12837,-3.27133E-035,-2.52839E-018,-8.91538E-037,-52.406,9.87891E-016,-20.062,
0.784,-104329,0.0000000000000153024,-12339.7,1.24337E-034,3.67666E-019,1.06547E-035,-52.4719,9.87942E-016,-20.2834,
0.785,-104521,0.0000000000000152105,-11840.9,-9.23798E-035,-2.52839E-018,-2.59217E-035,-52.539,9.87992E-016,-20.5043,
0.786,-104712,0.0000000000000151175,-11340.7,8.40161E-035,3.67666E-019,2.9746E-035,-52.6071,9.88043E-016,-20.7247,
0.787,-104899,0.0000000000000150233,-10839.1,-4.44833E-035,-2.52839E-018,-2.25095E-035,-52.6762,9.88094E-016,-20.9445,
0.788,-105085,0.000000000000014928,-10336.1,-5.66542E-035,-2.52839E-018,-1.47455E-035,-52.7464,9.88144E-016,-21.1637,
0.789,-105268,0.0000000000000148316,-9831.76,-8.52236E-035,-2.52839E-018,-7.68356E-036,-52.8176,9.88195E-016,-21.3824,
0.79,-105448,0.0000000000000147341,-9326.09,1.24778E-035,-2.52839E-018,-3.48169E-036,-52.8899,9.88246E-016,-21.6005,
0.791,-105626,0.0000000000000146355,-8819.1,3.18903E-035,-2.52839E-018,2.86316E-037,-52.9631,9.88297E-016,-21.818,
0.792,-105802,0.0000000000000145358,-8310.8,-2.69806E-035,3.67666E-019,4.00574E-036,-53.0374,9.88348E-016,-22.035,
0.793,-105975,0.000000000000014435,-7801.21,-3.36759E-036,-2.52839E-018,-1.98411E-036,-53.1127,9.88399E-016,-22.2514,
0.794,-106146,0.0000000000000143331,-7290.37,-3.37426E-036,3.67666E-019,-1.9699E-036,-53.189,9.88451E-016,-22.4671,
0.795,-106314,0.0000000000000142301,-6778.27,-1.73146E-035,3.67666E-019,-1.77951E-036,-53.2663,9.88502E-016,-22.6823,
0.796,-106480,0.000000000000014126,-6264.95,-1.73256E-035,-2.52839E-018,-1.69436E-036,-53.3446,9.88553E-016,-22.8969,
0.797,-106643,0.0000000000000140208,-5750.41,-1.65673E-036,3.67666E-019,-1.09047E-036,-53.4239,9.88605E-016,-23.1108,
0.798,-106804,0.0000000000000139146,-5234.69,1.78741E-035,3.67666E-019,3.84485E-037,-53.5041,9.88656E-016,-23.3242,
0.799,-106962,0.0000000000000138072,-4717.8,6.10276E-036,3.67666E-019,-4.26473E-037,-53.5854,9.88707E-016,-23.5369,
0.8,-107118,0.0000000000000136989,-4199.75,-4.00728E-035,3.67666E-019,1.90884E-038,-53.6676,9.88759E-016,-23.7489,
0.801,-107271,0.0000000000000135894,-3680.57,-3.44878E-036,3.67666E-019,-3.58516E-037,-53.7507,9.88811E-016,-23.9604,
0.802,-107422,0.0000000000000134789,-3160.28,-9.41793E-036,3.67666E-019,4.50469E-037,-53.8349,9.88862E-016,-24.1712,
0.803,-107570,0.0000000000000133674,-2638.89,-9.41821E-036,3.67666E-019,4.96718E-037,-53.92,9.88914E-016,-24.3813,
0.804,-107715,0.0000000000000132548,-2116.43,1.80088E-035,-2.52839E-018,-2.41493E-036,-54.006,9.88965E-016,-24.5908,
0.805,-107858,0.0000000000000131412,-1592.91,-1.32747E-035,-2.52839E-018,1.94819E-036,-54.093,9.89017E-016,-24.7996,
0.806,-107999,0.0000000000000130265,-1068.35,-6.38786E-036,-2.52839E-018,-2.43564E-036,-54.1809,9.89069E-016,-25.0078,
