x beta x y z
9.1 6.5543027816 4.7359126165 0.0358610552 4.3640873835
9.2 6.6263280869 4.8335625717 0.0572339915 4.3664374283
9.3 6.6983533922 4.9300014109 0.0834009034 4.3699985891
9.4 6.7703786975 5.0249883301 0.1142261049 4.3750116699
9.5 6.8424040028 5.1182900541 0.1495497549 4.3817099459
9.6 6.9144293081 5.209682046 0.1891886862 4.390317954
9.7 6.9864546134 5.2989496717 0.2329373548 4.4010503283
9.8 7.0584799187 5.3858893126 0.2805689064 4.4141106874
9.9 7.130505224 5.470309422 0.3318363522 4.429690578
10 7.2025305293 5.5520315177 0.3864738498 4.4479684823
10.1 7.2745558345 5.6308911078 0.4441980819 4.4691088922
10.2 7.3465811398 5.7067385439 0.5047097251 4.4932614561
10.3 7.4186064451 5.7794397964 0.5676950021 4.5205602036
10.4 7.4906317504 5.8488771504 0.6328273089 4.5511228496
10.5 7.5626570557 5.9149498152 0.6997689084 4.5850501848
10.6 7.634682361 5.9775744477 0.7681726815 4.6224255523
10.7 7.7067076663 6.0366855841 0.8376839269 4.6633144159
10.8 7.7787329716 6.0922359794 0.907942201 4.7077640206
10.9 7.8507582769 6.1441968527 0.9785831863 4.7558031473
11 7.9227835822 6.192558036 1.0492405809 4.807441964
11.1 7.9948088875 6.2373280272 1.1195479978 4.8626719728
11.2 8.0668341928 6.278533946 1.1891408648 4.921466054
11.3 8.1388594981 6.3162213933 1.2576583147 4.9837786067
11.4 8.2108848034 6.3504542146 1.3247450571 5.0495457854
11.5 8.2829101086 6.3813141692 1.3900532203 5.1186858308
11.6 8.3549354139 6.4089005057 1.453244155 5.1910994943
11.7 8.4269607192 6.4333294481 1.513990191 5.2666705519
11.8 8.4989860245 6.4547335927 1.5719763355 5.3452664073
11.9 8.5710113298 6.4732612203 1.6269019071 5.4267387797
12 8.6430366351 6.489075528 1.6784820945 5.510924472
12.1 8.7150619404 6.5023537823 1.7264494338 5.5976462177
12.2 8.7870872457 6.5132864002 1.7705551951 5.6867135998
12.3 8.859112551 6.5220759619 1.810570672 5.7779240381
12.4 8.9311378563 6.52893616 1.8462883685 5.87106384
12.5 9.0031631616 6.5340906917 1.8775230737 5.9659093083
12.6 9.0751884669 6.537772099 1.9041128232 6.062227901
12.7 9.1472137722 6.5402205622 1.9259197385 6.1597794378
12.8 9.2192390774 6.5416826552 1.9428307419 6.2583173448
12.9 9.2912643827 6.5424100667 1.954758143 6.3575899333
13 9.363289688 6.5426582948 1.9616400935 6.4573417052
13.1 9.4353149933 6.5426853225 1.9634409077 6.5573146775
13.2 9.5073402986 6.5427502798 1.9601512477 6.6572497202
13.3 9.5793656039 6.5431120998 1.9517881716 6.7568879002
13.4 9.6513909092 6.5440281767 1.9383950455 6.8559718233
13.5 9.7234162145 6.5457530302 1.9200413179 6.9542469698
